x,y,z,type
0.0065,-0.0005,0.026,1
0.0065,0.0,0.024,1
0.0065,0.0,0.0245,0
0.0065,0.0,0.025,0
0.0065,0.0,0.0255,0
0.0065,0.0,0.026,1
0.0065,0.0005,0.024,1
0.0065,0.0005,0.0245,0
0.0065,0.0005,0.025,0
0.0065,0.0005,0.0255,0
0.0065,0.0005,0.026,1
0.0065,0.001,0.0245,1
0.0065,0.001,0.025,1
0.0065,0.001,0.0255,1
0.007,-0.001,0.0245,1
0.007,-0.001,0.025,1
0.007,-0.001,0.0255,1
0.007,-0.0005,0.024,1
0.007,-0.0005,0.0245,0
0.007,-0.0005,0.025,0
0.007,-0.0005,0.0255,0
0.007,-0.0005,0.026,1
0.007,0.0,0.024,1
0.007,0.0,0.0245,0
0.007,0.0,0.025,0
0.007,0.0,0.0255,0
0.007,0.0,0.026,1
0.007,0.0005,0.024,1
0.007,0.0005,0.0245,0
0.007,0.0005,0.025,0
0.007,0.0005,0.0255,0
0.007,0.0005,0.026,1
0.007,0.001,0.0245,1
0.007,0.001,0.025,1
0.007,0.001,0.0255,1
0.0075,-0.001,0.0245,1
0.0075,-0.001,0.025,1
0.0075,-0.001,0.0255,1
0.0075,-0.0005,0.024,1
0.0075,-0.0005,0.0245,0
0.0075,-0.0005,0.025,0
0.0075,-0.0005,0.0255,0
0.0075,-0.0005,0.026,1
0.0075,0.0,0.024,1
0.0075,0.0,0.0245,0
0.0075,0.0,0.025,0
0.0075,0.0,0.0255,0
0.0075,0.0,0.026,1
0.0075,0.0005,0.024,1
0.0075,0.0005,0.0245,0
0.0075,0.0005,0.025,0
0.0075,0.0005,0.0255,0
0.0075,0.0005,0.026,1
0.0075,0.001,0.0245,1
0.0075,0.001,0.025,1
0.0075,0.001,0.0255,1
0.008,-0.001,0.0245,1
0.008,-0.001,0.025,1
0.008,-0.001,0.0255,1
0.008,-0.0005,0.024,1
0.008,-0.0005,0.0245,0
0.008,-0.0005,0.025,0
0.008,-0.0005,0.0255,0
0.008,-0.0005,0.026,1
0.008,0.0,0.024,1
0.008,0.0,0.0245,0
0.008,0.0,0.025,0
0.008,0.0,0.0255,0
0.008,0.0,0.026,1
0.008,0.0005,0.024,1
0.008,0.0005,0.0245,0
0.008,0.0005,0.025,0
0.008,0.0005,0.0255,0
0.008,0.0005,0.026,1
0.008,0.001,0.0245,1
0.008,0.001,0.025,1
0.008,0.001,0.0255,1
0.0085,-0.001,0.0245,1
0.0085,-0.001,0.025,1
0.0085,-0.001,0.0255,1
0.0085,-0.0005,0.024,1
0.0085,-0.0005,0.0245,0
0.0085,-0.0005,0.025,0
0.0085,-0.0005,0.0255,0
0.0085,-0.0005,0.026,1
0.0085,0.0,0.024,1
0.0085,0.0,0.0245,0
0.0085,0.0,0.025,0
0.0085,0.0,0.0255,0
0.0085,0.0,0.026,1
0.0085,0.0005,0.024,1
0.0085,0.0005,0.0245,0
0.0085,0.0005,0.025,0
0.0085,0.0005,0.0255,0
0.0085,0.0005,0.026,1
0.0085,0.001,0.0245,1
0.0085,0.001,0.025,1
0.0085,0.001,0.0255,1
0.009,-0.001,0.0245,1
0.009,-0.001,0.025,1
0.009,-0.001,0.0255,1
0.009,-0.0005,0.024,1
0.009,-0.0005,0.0245,0
0.009,-0.0005,0.025,0
0.009,-0.0005,0.0255,0
0.009,-0.0005,0.026,1
0.009,0.0,0.024,1
0.009,0.0,0.0245,0
0.009,0.0,0.025,0
0.009,0.0,0.0255,0
0.009,0.0,0.026,1
0.009,0.0005,0.024,1
