X,Y,Z,non_zero_elements
-0.0015,-0.0015,0.0015,66
-0.001,-0.0015,0.0015,84
-0.0005,-0.0015,0.0015,94
0,-0.0015,0.0015,100
0.0005,-0.0015,0.0015,94
0.001,-0.0015,0.0015,84
0.0015,-0.0015,0.0015,66
-0.002,-0.001,0.0015,59
-0.0015,-0.001,0.0015,84
-0.001,-0.001,0.0015,100
-0.0005,-0.001,0.0015,100
0,-0.001,0.0015,100
0.0005,-0.001,0.0015,100
0.001,-0.001,0.0015,100
0.0015,-0.001,0.0015,84
0.002,-0.001,0.0015,59
-0.002,-0.0005,0.0015,69
-0.0015,-0.0005,0.0015,94
-0.001,-0.0005,0.0015,100
-0.0005,-0.0005,0.0015,100
0,-0.0005,0.0015,100
0.0005,-0.0005,0.0015,100
0.001,-0.0005,0.0015,100
0.0015,-0.0005,0.0015,94
0.002,-0.0005,0.0015,69
-0.002,0,0.0015,73
-0.0015,0,0.0015,100
-0.001,0,0.0015,100
-0.0005,0,0.0015,100
0,0,0.0015,100
0.0005,0,0.0015,100
0.001,0,0.0015,100
0.0015,0,0.0015,100
0.002,0,0.0015,73
-0.002,0.0005,0.0015,69
-0.0015,0.0005,0.0015,94
-0.001,0.0005,0.0015,100
-0.0005,0.0005,0.0015,100
0,0.0005,0.0015,100
0.0005,0.0005,0.0015,100
0.001,0.0005,0.0015,100
0.0015,0.0005,0.0015,94
0.002,0.0005,0.0015,69
-0.002,0.001,0.0015,59
-0.0015,0.001,0.0015,84
-0.001,0.001,0.0015,100
-0.0005,0.001,0.0015,100
0,0.001,0.0015,100
0.0005,0.001,0.0015,100
0.001,0.001,0.0015,100
0.0015,0.001,0.0015,84
0.002,0.001,0.0015,59
-0.0015,0.0015,0.0015,66
-0.001,0.0015,0.0015,84
-0.0005,0.0015,0.0015,94
0,0.0015,0.0015,100
0.0005,0.0015,0.0015,94
0.001,0.0015,0.0015,84
0.0015,0.0015,0.0015,66
-0.001,0.002,0.0015,59
-0.0005,0.002,0.0015,69
0,0.002,0.0015,73
0.0005,0.002,0.0015,69
0.001,0.002,0.0015,59
-0.001,-0.002,0.002,59
-0.0005,-0.002,0.002,69
0,-0.002,0.002,73
0.0005,-0.002,0.002,69
0.001,-0.002,0.002,59
-0.0015,-0.0015,0.002,66
-0.001,-0.0015,0.002,84
-0.0005,-0.0015,0.002,94
0,-0.0015,0.002,100
0.0005,-0.0015,0.002,94
0.001,-0.0015,0.002,84
0.0015,-0.0015,0.002,66
-0.002,-0.001,0.002,59
-0.0015,-0.001,0.002,84
-0.001,-0.001,0.002,100
-0.0005,-0.001,0.002,100
0,-0.001,0.002,100
0.0005,-0.001,0.002,100
0.001,-0.001,0.002,100
0.0015,-0.001,0.002,84
0.002,-0.001,0.002,59
-0.002,-0.0005,0.002,69
-0.0015,-0.0005,0.002,94
-0.001,-0.0005,0.002,100
-0.0005,-0.0005,0.002,100
0,-0.0005,0.002,100
0.0005,-0.0005,0.002,100
0.001,-0.0005,0.002,100
0.0015,-0.0005,0.002,94
0.002,-0.0005,0.002,69
-0.002,0,0.002,73
-0.0015,0,0.002,100
-0.001,0,0.002,100
-0.0005,0,0.002,100
0,0,0.002,100
0.0005,0,0.002,100
0.001,0,0.002,100
0.0015,0,0.002,100
0.002,0,0.002,73
-0.002,0.0005,0.002,69
-0.0015,0.0005,0.002,94
-0.001,0.0005,0.002,100
-0.0005,0.0005,0.002,100
0,0.0005,0.002,100
0.0005,0.0005,0.002,100
0.001,0.0005,0.002,100
0.0015,0.0005,0.002,94
0.002,0.0005,0.002,69
-0.002,0.001,0.002,59
-0.0015,0.001,0.002,84
-0.001,0.001,0.002,100
-0.0005,0.001,0.002,100
0,0.001,0.002,100
0.0005,0.001,0.002,100
0.001,0.001,0.002,100
0.0015,0.001,0.002,84
0.002,0.001,0.002,59
-0.0015,0.0015,0.002,66
-0.001,0.0015,0.002,84
-0.0005,0.0015,0.002,94
0,0.0015,0.002,100
0.0005,0.0015,0.002,94
0.001,0.0015,0.002,84
0.0015,0.0015,0.002,66
-0.001,0.002,0.002,59
-0.0005,0.002,0.002,69
0,0.002,0.002,73
0.0005,0.002,0.002,69
0.001,0.002,0.002,59
-0.001,-0.002,0.0025,59
-0.0005,-0.002,0.0025,69
0,-0.002,0.0025,73
0.0005,-0.002,0.0025,69
0.001,-0.002,0.0025,59
-0.0015,-0.0015,0.0025,66
-0.001,-0.0015,0.0025,84
-0.0005,-0.0015,0.0025,94
0,-0.0015,0.0025,100
0.0005,-0.0015,0.0025,94
0.001,-0.0015,0.0025,84
0.0015,-0.0015,0.0025,66
-0.002,-0.001,0.0025,59
-0.0015,-0.001,0.0025,84
-0.001,-0.001,0.0025,100
-0.0005,-0.001,0.0025,100
0,-0.001,0.0025,100
0.0005,-0.001,0.0025,100
0.001,-0.001,0.0025,100
0.0015,-0.001,0.0025,84
0.002,-0.001,0.0025,59
-0.002,-0.0005,0.0025,69
-0.0015,-0.0005,0.0025,94
-0.001,-0.0005,0.0025,100
-0.0005,-0.0005,0.0025,100
0,-0.0005,0.0025,100
0.0005,-0.0005,0.0025,100
0.001,-0.0005,0.0025,100
0.0015,-0.0005,0.0025,94
0.002,-0.0005,0.0025,69
-0.002,0,0.0025,73
-0.0015,0,0.0025,100
-0.001,0,0.0025,100
-0.0005,0,0.0025,100
0,0,0.0025,100
0.0005,0,0.0025,100
0.001,0,0.0025,100
0.0015,0,0.0025,100
0.002,0,0.0025,73
-0.002,0.0005,0.0025,69
-0.0015,0.0005,0.0025,94
-0.001,0.0005,0.0025,100
-0.0005,0.0005,0.0025,100
0,0.0005,0.0025,100
0.0005,0.0005,0.0025,100
0.001,0.0005,0.0025,100
0.0015,0.0005,0.0025,94
0.002,0.0005,0.0025,69
-0.002,0.001,0.0025,59
-0.0015,0.001,0.0025,84
-0.001,0.001,0.0025,100
-0.0005,0.001,0.0025,100
0,0.001,0.0025,100
0.0005,0.001,0.0025,100
0.001,0.001,0.0025,100
0.0015,0.001,0.0025,84
0.002,0.001,0.0025,59
-0.0015,0.0015,0.0025,66
-0.001,0.0015,0.0025,84
-0.0005,0.0015,0.0025,94
0,0.0015,0.0025,100
0.0005,0.0015,0.0025,94
0.001,0.0015,0.0025,84
0.0015,0.0015,0.0025,66
-0.001,0.002,0.0025,59
-0.0005,0.002,0.0025,69
0,0.002,0.0025,73
0.0005,0.002,0.0025,69
0.001,0.002,0.0025,59
-0.001,-0.002,0.003,59
-0.0005,-0.002,0.003,69
0,-0.002,0.003,73
0.0005,-0.002,0.003,69
0.001,-0.002,0.003,59
-0.0015,-0.0015,0.003,66
-0.001,-0.0015,0.003,84
-0.0005,-0.0015,0.003,94
0,-0.0015,0.003,100
0.0005,-0.0015,0.003,94
0.001,-0.0015,0.003,84
0.0015,-0.0015,0.003,66
-0.002,-0.001,0.003,59
-0.0015,-0.001,0.003,84
-0.001,-0.001,0.003,100
